,iso,year,gdpPerc
672,BGR,1980,0.2501548125
673,BHR,1980,0.03583145003
674,BIH,1980,0.05625720277
675,BLR,1980,0.1930492405
676,BOL,1980,0.06338872316
677,BRA,1980,3.540611657
678,BRB,1980,0.006687439431
679,BWA,1980,0.009064855269
680,CAF,1980,0.007743034555
681,CAN,1980,1.812001246
682,CHE,1980,0.7533912438
683,CHL,1980,0.2351009964
684,CHN,1980,4.066852426
685,CIV,1980,0.1130693869
686,CMR,1980,0.06264905682
687,COD,1980,0.128842771
688,COG,1980,0.02250930676
689,COL,1980,0.4842467014
690,COM,1980,0.001313030551
691,CPV,1980,0.001575959829
692,CRI,1980,0.04699238746
693,CSK,1980,0.6148436834
694,CUB,1980,0.1553504841
695,CYP,1980,0.01888826334
696,CZE,1980,0.4463910417
697,DEU,1980,6.012085027
698,DJI,1980,0.002571445753
699,DMA,1980,0.0006749843122
700,DNK,1980,0.377487943
701,DOM,1980,0.08459793146
702,DZA,1980,0.5805018374
703,ECU,1980,0.1623568901
704,EGY,1980,0.6333256845
705,ESP,1980,1.673271325
706,EST,1980,0.04278881532
707,ETH,1980,0.08982641395
708,FIN,1980,0.2698663968
709,FRA,1980,3.605292012
710,GAB,1980,0.04226035526
711,GBR,1980,3.065144416
712,GEO,1980,0.1295594682
713,GHA,1980,0.05390946719
714,GIN,1980,0.01382037098
715,GMB,1980,0.002721611032
716,GNB,1980,0.002755901823
717,GNQ,1980,0.002015877309
718,GRC,1980,0.4482027928
719,GTM,1980,0.1094769788
720,HKG,1980,0.1938578547
721,HND,1980,0.03548367306
722,HRV,1980,0.2297236467
723,HTI,1980,0.04226050069
724,HUN,1980,0.4426328836
725,IDN,1980,1.304007896
726,IND,1980,2.283909944
727,IRL,1980,0.1581961916
728,IRN,1980,1.174302022
729,IRQ,1980,1.589887898
730,ISL,1980,0.0138964716
731,ISR,1980,0.1644857253
732,ITA,1980,3.690587711
733,JAM,1980,0.03646725833
734,JOR,1980,0.05369575906
735,JPN,1980,6.646838547
736,KAZ,1980,0.5362859268
737,KEN,1980,0.1063007166
738,KGZ,1980,0.0462285374
739,KHM,1980,0.015043911
740,KOR,1980,0.5825518089
741,KWT,1980,0.316237979
742,LAO,1980,0.01088135693
743,LBN,1980,0.07259449572
744,LBR,1980,0.006604902388
745,LBY,1980,0.3458901547
746,LCA,1980,0.001534346596
747,LKA,1980,0.1077733408
748,LSO,1980,0.003579357477
749,LTU,1980,0.1175761011
750,LUX,1980,0.02254535612
751,LVA,1980,0.07959385935
752,MAR,1980,0.1950147467
753,MDA,1980,0.066947204
754,MDG,1980,0.04983014767
755,MEX,1980,2.176175462
756,MKD,1980,0.05269961064
757,MLI,1980,0.01772653723
758,MLT,1980,0.008818558358
759,MMR,1980,0.08680952185
760,MNE,1980,0.02951534111
761,MNG,1980,0.01961535306
762,MOZ,1980,0.01209243344
763,MRT,1980,0.01080139715
764,MUS,1980,0.01247952108
765,MWI,1980,0.01550741973
766,MYS,1980,0.2517613763
767,NAM,1980,0.01848031523
768,NER,1980,0.02057668823
769,NGA,1980,0.6850924607
770,NIC,1980,0.03739606129
771,NLD,1980,1.007880053
772,NOR,1980,0.4998614236
773,NPL,1980,0.0402982423
774,NZL,1980,0.1735660442
775,OMN,1980,0.07181810676
776,PAK,1980,0.521195108
777,PAN,1980,0.03830539607
778,PER,1980,0.334605945
779,PHL,1980,0.610471951
780,POL,1980,1.069761641
781,PRI,1980,0.1564956775
782,PRK,1980,0.1084169886
783,PRT,1980,0.3665523693
784,PRY,1980,0.04672693208
785,PSE,1980,0.01081556267
786,QAT,1980,0.2097501672
787,ROU,1980,0.6358459244
788,RUS,1980,7.377985498
789,RWA,1980,0.01360173723
790,SAU,1980,1.707420679
791,SDN,1980,0.1120764917
792,SEN,1980,0.02792789806
793,SGP,1980,0.1114801395
794,SLE,1980,0.01441509928
795,SLV,1980,0.0644410489
796,SRB,1980,0.4093034225
797,STP,1980,0.0008834867557
798,SVK,1980,0.05592905824
